state,district,stage,sex,date,students
Johor,Batu Pahat,secondary,both,2021-01-01,28144
Johor,Batu Pahat,secondary,both,2022-01-01,27708
Johor,Batu Pahat,secondary,female,2017-01-01,16779
Johor,Batu Pahat,secondary,female,2018-01-01,14869
Johor,Batu Pahat,secondary,female,2019-01-01,14345
Johor,Batu Pahat,secondary,female,2020-01-01,14111
Johor,Batu Pahat,secondary,female,2021-01-01,13945
Johor,Batu Pahat,secondary,female,2022-01-01,13651
Johor,Batu Pahat,secondary,male,2017-01-01,16218
Johor,Batu Pahat,secondary,male,2018-01-01,14732
Johor,Batu Pahat,secondary,male,2019-01-01,14314
Johor,Batu Pahat,secondary,male,2020-01-01,14218
Johor,Batu Pahat,secondary,male,2021-01-01,14199
Johor,Batu Pahat,secondary,male,2022-01-01,14057
Johor,Batu Pahat,post_secondary,both,2018-01-01,2104
Johor,Batu Pahat,post_secondary,both,2019-01-01,1911
Johor,Batu Pahat,post_secondary,both,2020-01-01,1056
Johor,Batu Pahat,post_secondary,both,2021-01-01,1044
Johor,Batu Pahat,post_secondary,both,2022-01-01,1136
Johor,Batu Pahat,post_secondary,female,2018-01-01,1218
Johor,Batu Pahat,post_secondary,female,2019-01-01,1126
Johor,Batu Pahat,post_secondary,female,2020-01-01,532
Johor,Batu Pahat,post_secondary,female,2021-01-01,568
Johor,Batu Pahat,post_secondary,female,2022-01-01,604
Johor,Batu Pahat,post_secondary,male,2018-01-01,886
Johor,Batu Pahat,post_secondary,male,2019-01-01,785
Johor,Batu Pahat,post_secondary,male,2020-01-01,524
Johor,Batu Pahat,post_secondary,male,2021-01-01,476
Johor,Batu Pahat,post_secondary,male,2022-01-01,532
Johor,Johor Bahru,primary,both,2017-01-01,137487
Johor,Johor Bahru,primary,both,2018-01-01,147001
Johor,Johor Bahru,primary,both,2019-01-01,149749
Johor,Johor Bahru,primary,both,2020-01-01,151081
Johor,Johor Bahru,primary,both,2021-01-01,151451
Johor,Johor Bahru,primary,both,2022-01-01,151122
Johor,Johor Bahru,primary,female,2017-01-01,34259
Johor,Johor Bahru,primary,female,2017-01-01,32805
Johor,Johor Bahru,primary,female,2018-01-01,71741
Johor,Johor Bahru,primary,female,2019-01-01,73151
Johor,Johor Bahru,primary,female,2020-01-01,73941
Johor,Johor Bahru,primary,female,2021-01-01,74118
Johor,Johor Bahru,primary,female,2022-01-01,73998
Johor,Johor Bahru,primary,male,2017-01-01,35872
Johor,Johor Bahru,primary,male,2017-01-01,34551
Johor,Johor Bahru,primary,male,2018-01-01,75260
Johor,Johor Bahru,primary,male,2019-01-01,76598
Johor,Johor Bahru,primary,male,2020-01-01,77140
Johor,Johor Bahru,primary,male,2021-01-01,77333
Johor,Johor Bahru,primary,male,2022-01-01,77124
Johor,Johor Bahru,secondary,both,2017-01-01,98978
Johor,Johor Bahru,secondary,both,2018-01-01,97180
Johor,Johor Bahru,secondary,both,2019-01-01,97020
Johor,Johor Bahru,secondary,both,2020-01-01,98256
Johor,Johor Bahru,secondary,both,2021-01-01,99901
Johor,Johor Bahru,secondary,both,2022-01-01,100140
Johor,Johor Bahru,secondary,female,2017-01-01,26181
Johor,Johor Bahru,secondary,female,2017-01-01,24344
Johor,Johor Bahru,secondary,female,2018-01-01,48842
Johor,Johor Bahru,secondary,female,2019-01-01,48673
Johor,Johor Bahru,secondary,female,2020-01-01,49179
Johor,Johor Bahru,secondary,female,2021-01-01,49750
Johor,Johor Bahru,secondary,female,2022-01-01,49598
Johor,Johor Bahru,secondary,male,2017-01-01,24407
Johor,Johor Bahru,secondary,male,2017-01-01,24046
Johor,Johor Bahru,secondary,male,2018-01-01,48338
Johor,Johor Bahru,secondary,male,2019-01-01,48347
Johor,Johor Bahru,secondary,male,2020-01-01,49077
Johor,Johor Bahru,secondary,male,2021-01-01,50151
Johor,Johor Bahru,secondary,male,2022-01-01,50542
Johor,Johor Bahru,post_secondary,both,2018-01-01,3786
Johor,Johor Bahru,post_secondary,both,2019-01-01,3918
Johor,Johor Bahru,post_secondary,both,2020-01-01,2202
Johor,Johor Bahru,post_secondary,both,2021-01-01,2172
Johor,Johor Bahru,post_secondary,both,2022-01-01,2025
Johor,Johor Bahru,post_secondary,female,2018-01-01,2541
Johor,Johor Bahru,post_secondary,female,2019-01-01,2627
Johor,Johor Bahru,post_secondary,female,2020-01-01,1428
Johor,Johor Bahru,post_secondary,female,2021-01-01,1464
Johor,Johor Bahru,post_secondary,female,2022-01-01,1363
Johor,Johor Bahru,post_secondary,male,2018-01-01,1245
Johor,Johor Bahru,post_secondary,male,2019-01-01,1291
Johor,Johor Bahru,post_secondary,male,2020-01-01,774
Johor,Johor Bahru,post_secondary,male,2021-01-01,708
Johor,Johor Bahru,post_secondary,male,2022-01-01,662
Johor,Kluang,primary,both,2017-01-01,25256
Johor,Kluang,primary,both,2018-01-01,25387
Johor,Kluang,primary,both,2019-01-01,25430
Johor,Kluang,primary,both,2020-01-01,25378
Johor,Kluang,primary,both,2021-01-01,25463
Johor,Kluang,primary,both,2022-01-01,25591
Johor,Kluang,primary,female,2017-01-01,12252
Johor,Kluang,primary,female,2018-01-01,12296
Johor,Kluang,primary,female,2019-01-01,12429
Johor,Kluang,primary,female,2020-01-01,12403
Johor,Kluang,primary,female,2021-01-01,12395
Johor,Kluang,primary,female,2022-01-01,12390
Johor,Kluang,primary,male,2017-01-01,13004
Johor,Kluang,primary,male,2018-01-01,13091
Johor,Kluang,primary,male,2019-01-01,13001
Johor,Kluang,primary,male,2020-01-01,12975
Johor,Kluang,primary,male,2021-01-01,13068
Johor,Kluang,primary,male,2022-01-01,13201
Johor,Kluang,secondary,both,2017-01-01,22439
Johor,Kluang,secondary,both,2018-01-01,19878
Johor,Kluang,secondary,both,2019-01-01,19397
Johor,Kluang,secondary,both,2020-01-01,19210
Johor,Kluang,secondary,both,2021-01-01,19206
Johor,Kluang,secondary,both,2022-01-01,19198
Johor,Kluang,secondary,female,2017-01-01,11193
Johor,Kluang,secondary,female,2018-01-01,9803
Johor,Kluang,secondary,female,2019-01-01,9575
Johor,Kluang,secondary,female,2020-01-01,9492
Johor,Kluang,secondary,female,2021-01-01,9400
Johor,Kluang,secondary,female,2022-01-01,9419
Johor,Kluang,secondary,male,2017-01-01,11246
Johor,Kluang,secondary,male,2018-01-01,10075
Johor,Kluang,secondary,male,2019-01-01,9822
Johor,Kluang,secondary,male,2020-01-01,9718
Johor,Kluang,secondary,male,2021-01-01,9806
Johor,Kluang,secondary,male,2022-01-01,9779
Johor,Kluang,post_secondary,both,2018-01-01,1449
Johor,Kluang,post_secondary,both,2019-01-01,1324
Johor,Kluang,post_secondary,both,2020-01-01,795
Johor,Kluang,post_secondary,both,2021-01-01,704
Johor,Kluang,post_secondary,both,2022-01-01,759
Johor,Kluang,post_secondary,female,2018-01-01,837
Johor,Kluang,post_secondary,female,2019-01-01,745
Johor,Kluang,post_secondary,female,2020-01-01,377
Johor,Kluang,post_secondary,female,2021-01-01,352
Johor,Kluang,post_secondary,female,2022-01-01,354
Johor,Kluang,post_secondary,male,2018-01-01,612
Johor,Kluang,post_secondary,male,2019-01-01,579
Johor,Kluang,post_secondary,male,2020-01-01,418
Johor,Kluang,post_secondary,male,2021-01-01,352
Johor,Kluang,post_secondary,male,2022-01-01,405
Johor,Kota Tinggi,primary,both,2017-01-01,17870
Johor,Kota Tinggi,primary,both,2018-01-01,21503
Johor,Kota Tinggi,primary,both,2019-01-01,21719
Johor,Kota Tinggi,primary,both,2020-01-01,21829
Johor,Kota Tinggi,primary,both,2021-01-01,22215
Johor,Kota Tinggi,primary,both,2022-01-01,22477
Johor,Kota Tinggi,primary,female,2017-01-01,8556
Johor,Kota Tinggi,primary,female,2018-01-01,10264
Johor,Kota Tinggi,primary,female,2019-01-01,10442
Johor,Kota Tinggi,primary,female,2020-01-01,10469
Johor,Kota Tinggi,primary,female,2021-01-01,10729
Johor,Kota Tinggi,primary,female,2022-01-01,10975
Johor,Kota Tinggi,primary,male,2017-01-01,9314
Johor,Kota Tinggi,primary,male,2018-01-01,11239
Johor,Kota Tinggi,primary,male,2019-01-01,11277
Johor,Kota Tinggi,primary,male,2020-01-01,11360
Johor,Kota Tinggi,primary,male,2021-01-01,11486
Johor,Kota Tinggi,primary,male,2022-01-01,11502
Johor,Kota Tinggi,secondary,both,2017-01-01,16064
Johor,Kota Tinggi,secondary,both,2018-01-01,17212
Johor,Kota Tinggi,secondary,both,2019-01-01,16925
Johor,Kota Tinggi,secondary,both,2020-01-01,17091
Johor,Kota Tinggi,secondary,both,2021-01-01,17354
Johor,Kota Tinggi,secondary,both,2022-01-01,17425
Johor,Kota Tinggi,secondary,female,2017-01-01,7885
Johor,Kota Tinggi,secondary,female,2018-01-01,8517
Johor,Kota Tinggi,secondary,female,2019-01-01,8316
Johor,Kota Tinggi,secondary,female,2020-01-01,8394
Johor,Kota Tinggi,secondary,female,2021-01-01,8434
Johor,Kota Tinggi,secondary,female,2022-01-01,8399
Johor,Kota Tinggi,secondary,male,2017-01-01,8179
Johor,Kota Tinggi,secondary,male,2018-01-01,8695
Johor,Kota Tinggi,secondary,male,2019-01-01,8609
Johor,Kota Tinggi,secondary,male,2020-01-01,8697
Johor,Kota Tinggi,secondary,male,2021-01-01,8920
Johor,Kota Tinggi,secondary,male,2022-01-01,9026
Johor,Kota Tinggi,post_secondary,both,2018-01-01,1343
Johor,Kota Tinggi,post_secondary,both,2019-01-01,1302
Johor,Kota Tinggi,post_secondary,both,2020-01-01,735
Johor,Kota Tinggi,post_secondary,both,2021-01-01,578
Johor,Kota Tinggi,post_secondary,both,2022-01-01,669
Johor,Kota Tinggi,post_secondary,female,2018-01-01,693
Johor,Kota Tinggi,post_secondary,female,2019-01-01,681
Johor,Kota Tinggi,post_secondary,female,2020-01-01,339
Johor,Kota Tinggi,post_secondary,female,2021-01-01,256
Johor,Kota Tinggi,post_secondary,female,2022-01-01,287
Johor,Kota Tinggi,post_secondary,male,2018-01-01,650
Johor,Kota Tinggi,post_secondary,male,2019-01-01,621
Johor,Kota Tinggi,post_secondary,male,2020-01-01,396
Johor,Kota Tinggi,post_secondary,male,2021-01-01,322
Johor,Kota Tinggi,post_secondary,male,2022-01-01,382
Johor,Kulai,primary,both,2017-01-01,32842
Johor,Kulai,primary,both,2018-01-01,21812
Johor,Kulai,primary,both,2019-01-01,21970
Johor,Kulai,primary,both,2020-01-01,21978
Johor,Kulai,primary,both,2021-01-01,21953
Johor,Kulai,primary,both,2022-01-01,21871
Johor,Kulai,primary,female,2017-01-01,15942
Johor,Kulai,primary,female,2018-01-01,10638
Johor,Kulai,primary,female,2019-01-01,10687
Johor,Kulai,primary,female,2020-01-01,10590
Johor,Kulai,primary,female,2021-01-01,10456
Johor,Kulai,primary,female,2022-01-01,10416
Johor,Kulai,primary,male,2017-01-01,16900
Johor,Kulai,primary,male,2018-01-01,11174
Johor,Kulai,primary,male,2019-01-01,11283
Johor,Kulai,primary,male,2020-01-01,11388
Johor,Kulai,primary,male,2021-01-01,11497
Johor,Kulai,primary,male,2022-01-01,11455
Johor,Kulai,secondary,both,2017-01-01,23039
Johor,Kulai,secondary,both,2018-01-01,14871
Johor,Kulai,secondary,both,2019-01-01,14630
Johor,Kulai,secondary,both,2020-01-01,14400
Johor,Kulai,secondary,both,2021-01-01,14383
Johor,Kulai,secondary,both,2022-01-01,14149
Johor,Kulai,secondary,female,2017-01-01,11644
Johor,Kulai,secondary,female,2018-01-01,7324
Johor,Kulai,secondary,female,2019-01-01,7172
Johor,Kulai,secondary,female,2020-01-01,7003
Johor,Kulai,secondary,female,2021-01-01,7011
Johor,Kulai,secondary,female,2022-01-01,6839
Johor,Kulai,secondary,male,2017-01-01,11395
Johor,Kulai,secondary,male,2018-01-01,7547
Johor,Kulai,secondary,male,2019-01-01,7458
Johor,Kulai,secondary,male,2020-01-01,7397
Johor,Kulai,secondary,male,2021-01-01,7372
Johor,Kulai,secondary,male,2022-01-01,7310
Johor,Kulai,post_secondary,both,2018-01-01,731
Johor,Kulai,post_secondary,both,2019-01-01,667
Johor,Kulai,post_secondary,both,2020-01-01,293
Johor,Kulai,post_secondary,both,2021-01-01,276
Johor,Kulai,post_secondary,both,2022-01-01,309
Johor,Kulai,post_secondary,female,2018-01-01,492
Johor,Kulai,post_secondary,female,2019-01-01,442
Johor,Kulai,post_secondary,female,2020-01-01,186
Johor,Kulai,post_secondary,female,2021-01-01,188
Johor,Kulai,post_secondary,female,2022-01-01,220
Johor,Kulai,post_secondary,male,2018-01-01,239
Johor,Kulai,post_secondary,male,2019-01-01,225
Johor,Kulai,post_secondary,male,2020-01-01,107
Johor,Kulai,post_secondary,male,2021-01-01,88
Johor,Kulai,post_secondary,male,2022-01-01,89
Johor,Mersing,primary,both,2017-01-01,7405
Johor,Mersing,primary,both,2018-01-01,7597
Johor,Mersing,primary,both,2019-01-01,7709
Johor,Mersing,primary,both,2020-01-01,7750
Johor,Mersing,primary,both,2021-01-01,7798
Johor,Mersing,primary,both,2022-01-01,7838
Johor,Mersing,primary,female,2017-01-01,3574
Johor,Mersing,primary,female,2018-01-01,3676
Johor,Mersing,primary,female,2019-01-01,3766
Johor,Mersing,primary,female,2020-01-01,3778
Johor,Mersing,primary,female,2021-01-01,3780
Johor,Mersing,primary,female,2022-01-01,3781
Johor,Mersing,primary,male,2017-01-01,3831
Johor,Mersing,primary,male,2018-01-01,3921
Johor,Mersing,primary,male,2019-01-01,3943
Johor,Mersing,primary,male,2020-01-01,3972
Johor,Mersing,primary,male,2021-01-01,4018
Johor,Mersing,primary,male,2022-01-01,4057
Johor,Mersing,secondary,both,2017-01-01,6108
Johor,Mersing,secondary,both,2018-01-01,5643
Johor,Mersing,secondary,both,2019-01-01,5517
Johor,Mersing,secondary,both,2020-01-01,5490
Johor,Mersing,secondary,both,2021-01-01,5497
Johor,Mersing,secondary,both,2022-01-01,5734
Johor,Mersing,secondary,female,2017-01-01,3144
Johor,Mersing,secondary,female,2018-01-01,2858
Johor,Mersing,secondary,female,2019-01-01,2736
Johor,Mersing,secondary,female,2020-01-01,2734
Johor,Mersing,secondary,female,2021-01-01,2718
Johor,Mersing,secondary,female,2022-01-01,2800
Johor,Mersing,secondary,male,2017-01-01,2964
Johor,Mersing,secondary,male,2018-01-01,2785
Johor,Mersing,secondary,male,2019-01-01,2781
Johor,Mersing,secondary,male,2020-01-01,2756
Johor,Mersing,secondary,male,2021-01-01,2779
Johor,Mersing,secondary,male,2022-01-01,2934
Johor,Mersing,post_secondary,both,2018-01-01,258
Johor,Mersing,post_secondary,both,2019-01-01,216
Johor,Mersing,post_secondary,both,2020-01-01,113
Johor,Mersing,post_secondary,both,2021-01-01,123
Johor,Mersing,post_secondary,both,2022-01-01,102
Johor,Mersing,post_secondary,female,2018-01-01,195
Johor,Mersing,post_secondary,female,2019-01-01,163
Johor,Mersing,post_secondary,female,2020-01-01,80
Johor,Mersing,post_secondary,female,2021-01-01,85
Johor,Mersing,post_secondary,female,2022-01-01,73
Johor,Mersing,post_secondary,male,2018-01-01,63
Johor,Mersing,post_secondary,male,2019-01-01,53
Johor,Mersing,post_secondary,male,2020-01-01,33
Johor,Mersing,post_secondary,male,2021-01-01,38
Johor,Mersing,post_secondary,male,2022-01-01,29
Johor,Muar,primary,both,2017-01-01,22458
Johor,Muar,primary,both,2018-01-01,22375
Johor,Muar,primary,both,2019-01-01,22362
Johor,Muar,primary,both,2020-01-01,22054
Johor,Muar,primary,both,2021-01-01,22049
Johor,Muar,primary,both,2022-01-01,22030
Johor,Muar,primary,female,2017-01-01,10816
Johor,Muar,primary,female,2018-01-01,10800
Johor,Muar,primary,female,2019-01-01,10780
Johor,Muar,primary,female,2020-01-01,10599
Johor,Muar,primary,female,2021-01-01,10662
Johor,Muar,primary,female,2022-01-01,10693
Johor,Muar,primary,male,2017-01-01,11642
Johor,Muar,primary,male,2018-01-01,11575
Johor,Muar,primary,male,2019-01-01,11582
Johor,Muar,primary,male,2020-01-01,11455
Johor,Muar,primary,male,2021-01-01,11387
Johor,Muar,primary,male,2022-01-01,11337
Johor,Muar,secondary,both,2017-01-01,20211
Johor,Muar,secondary,both,2018-01-01,18160
Johor,Muar,secondary,both,2019-01-01,17785
Johor,Muar,secondary,both,2020-01-01,17686
Johor,Muar,secondary,both,2021-01-01,17884
Johor,Muar,secondary,both,2022-01-01,17965
Johor,Muar,secondary,female,2017-01-01,10141
Johor,Muar,secondary,female,2018-01-01,8889
Johor,Muar,secondary,female,2019-01-01,8765
Johor,Muar,secondary,female,2020-01-01,8708
Johor,Muar,secondary,female,2021-01-01,8801
Johor,Muar,secondary,female,2022-01-01,8811
Johor,Muar,secondary,male,2017-01-01,10070
Johor,Muar,secondary,male,2018-01-01,9271
Johor,Muar,secondary,male,2019-01-01,9020
Johor,Muar,secondary,male,2020-01-01,8978
Johor,Muar,secondary,male,2021-01-01,9083
Johor,Muar,secondary,male,2022-01-01,9154
Johor,Muar,post_secondary,both,2018-01-01,1408
Johor,Muar,post_secondary,both,2019-01-01,1336
Johor,Muar,post_secondary,both,2020-01-01,692
Johor,Muar,post_secondary,both,2021-01-01,687
Johor,Muar,post_secondary,both,2022-01-01,733
Johor,Muar,post_secondary,female,2018-01-01,865
Johor,Muar,post_secondary,female,2019-01-01,796
Johor,Muar,post_secondary,female,2020-01-01,374
Johor,Muar,post_secondary,female,2021-01-01,426
Johor,Muar,post_secondary,female,2022-01-01,393
Johor,Muar,post_secondary,male,2018-01-01,543
Johor,Muar,post_secondary,male,2019-01-01,540
Johor,Muar,post_secondary,male,2020-01-01,318
Johor,Muar,post_secondary,male,2021-01-01,261
Johor,Muar,post_secondary,male,2022-01-01,340
Johor,Pontian,primary,both,2017-01-01,15682
Johor,Pontian,primary,both,2018-01-01,15634
Johor,Pontian,primary,both,2019-01-01,15842
Johor,Pontian,primary,both,2020-01-01,15629
Johor,Pontian,primary,both,2021-01-01,15786
Johor,Pontian,primary,both,2022-01-01,15842
Johor,Pontian,primary,female,2017-01-01,7617
Johor,Pontian,primary,female,2018-01-01,7631
Johor,Pontian,primary,female,2019-01-01,7765
Johor,Pontian,primary,female,2020-01-01,7730
Johor,Pontian,primary,female,2021-01-01,7761
Johor,Pontian,primary,female,2022-01-01,7770
Johor,Pontian,primary,male,2017-01-01,8065
Johor,Pontian,primary,male,2018-01-01,8003
Johor,Pontian,primary,male,2019-01-01,8077
Johor,Pontian,primary,male,2020-01-01,7899
Johor,Pontian,primary,male,2021-01-01,8025
Johor,Pontian,primary,male,2022-01-01,8072
Johor,Pontian,secondary,both,2017-01-01,14304
Johor,Pontian,secondary,both,2018-01-01,12837
Johor,Pontian,secondary,both,2019-01-01,12628
Johor,Pontian,secondary,both,2020-01-01,12674
Johor,Pontian,secondary,both,2021-01-01,12755
Johor,Pontian,secondary,both,2022-01-01,12656
Johor,Pontian,secondary,female,2017-01-01,7323
Johor,Pontian,secondary,female,2018-01-01,6439
Johor,Pontian,secondary,female,2019-01-01,6293
Johor,Pontian,secondary,female,2020-01-01,6278
Johor,Pontian,secondary,female,2021-01-01,6284
Johor,Pontian,secondary,female,2022-01-01,6179
Johor,Pontian,secondary,male,2017-01-01,6981
Johor,Pontian,secondary,male,2018-01-01,6398
Johor,Pontian,secondary,male,2019-01-01,6335
Johor,Pontian,secondary,male,2020-01-01,6396
Johor,Pontian,secondary,male,2021-01-01,6471
Johor,Pontian,secondary,male,2022-01-01,6477
Johor,Pontian,post_secondary,both,2018-01-01,949
Johor,Pontian,post_secondary,both,2019-01-01,833
Johor,Pontian,post_secondary,both,2020-01-01,408
Johor,Pontian,post_secondary,both,2021-01-01,441
Johor,Pontian,post_secondary,both,2022-01-01,487
Johor,Pontian,post_secondary,female,2018-01-01,660
Johor,Pontian,post_secondary,female,2019-01-01,559
Johor,Pontian,post_secondary,female,2020-01-01,266
Johor,Pontian,post_secondary,female,2021-01-01,305
Johor,Pontian,post_secondary,female,2022-01-01,282
Johor,Pontian,post_secondary,male,2018-01-01,289
Johor,Pontian,post_secondary,male,2019-01-01,274
Johor,Pontian,post_secondary,male,2020-01-01,142
Johor,Pontian,post_secondary,male,2021-01-01,136
Johor,Pontian,post_secondary,male,2022-01-01,205
Johor,Segamat,primary,both,2017-01-01,17682
Johor,Segamat,primary,both,2018-01-01,17551
Johor,Segamat,primary,both,2019-01-01,17540
Johor,Segamat,primary,both,2020-01-01,17342
Johor,Segamat,primary,both,2021-01-01,17333
Johor,Segamat,primary,both,2022-01-01,17187
Johor,Segamat,primary,female,2017-01-01,8584
Johor,Segamat,primary,female,2018-01-01,8519
Johor,Segamat,primary,female,2019-01-01,8470
Johor,Segamat,primary,female,2020-01-01,8352
Johor,Segamat,primary,female,2021-01-01,8385
Johor,Segamat,primary,female,2022-01-01,8354
Johor,Segamat,primary,male,2017-01-01,9098
Johor,Segamat,primary,male,2018-01-01,9032
Johor,Segamat,primary,male,2019-01-01,9070
Johor,Segamat,primary,male,2020-01-01,8990
Johor,Segamat,primary,male,2021-01-01,8948
Johor,Segamat,primary,male,2022-01-01,8833
Johor,Segamat,secondary,both,2017-01-01,16200
Johor,Segamat,secondary,both,2018-01-01,14188
