state,stage,sex,date,completion
Kedah,secondary_upper,male,2018-01-01,93.9202
Kedah,secondary_upper,male,2019-01-01,95.3
Kedah,secondary_upper,male,2020-01-01,95.5
Kedah,secondary_upper,male,2021-01-01,101.2
Kedah,secondary_upper,male,2022-01-01,98.7
Kelantan,primary,both,2016-01-01,100.32
Kelantan,primary,both,2017-01-01,100.17
Kelantan,primary,both,2018-01-01,99.32
Kelantan,primary,both,2019-01-01,99.9
Kelantan,primary,both,2020-01-01,99.5
Kelantan,primary,both,2021-01-01,100.2
Kelantan,primary,both,2022-01-01,98.2
Kelantan,primary,female,2016-01-01,101.49
Kelantan,primary,female,2017-01-01,101.41
Kelantan,primary,female,2018-01-01,100.59
Kelantan,primary,female,2019-01-01,101.1
Kelantan,primary,female,2020-01-01,101.5
Kelantan,primary,female,2021-01-01,101.8
Kelantan,primary,female,2022-01-01,99.2
Kelantan,primary,male,2016-01-01,99.2
Kelantan,primary,male,2017-01-01,99.0
Kelantan,primary,male,2018-01-01,98.12
Kelantan,primary,male,2019-01-01,98.7
Kelantan,primary,male,2020-01-01,97.6
Kelantan,primary,male,2021-01-01,98.7
Kelantan,primary,male,2022-01-01,97.3
Kelantan,secondary_lower,both,2016-01-01,96.242
Kelantan,secondary_lower,both,2017-01-01,94.65
Kelantan,secondary_lower,both,2018-01-01,85.9723
Kelantan,secondary_lower,both,2019-01-01,98.0
Kelantan,secondary_lower,both,2020-01-01,109.9
Kelantan,secondary_lower,both,2021-01-01,111.7
Kelantan,secondary_lower,both,2022-01-01,99.0
Kelantan,secondary_lower,female,2016-01-01,96.6945
Kelantan,secondary_lower,female,2017-01-01,96.9235
Kelantan,secondary_lower,female,2018-01-01,86.3164
Kelantan,secondary_lower,female,2019-01-01,98.8
Kelantan,secondary_lower,female,2020-01-01,112.9
Kelantan,secondary_lower,female,2021-01-01,112.9
Kelantan,secondary_lower,female,2022-01-01,98.7
Kelantan,secondary_lower,male,2016-01-01,95.7847
Kelantan,secondary_lower,male,2017-01-01,92.3972
Kelantan,secondary_lower,male,2018-01-01,85.6336
Kelantan,secondary_lower,male,2019-01-01,97.1
Kelantan,secondary_lower,male,2020-01-01,107.0
Kelantan,secondary_lower,male,2021-01-01,110.5
Kelantan,secondary_lower,male,2022-01-01,99.4
Kelantan,secondary_upper,both,2016-01-01,98.4254
Kelantan,secondary_upper,both,2017-01-01,96.8805
Kelantan,secondary_upper,both,2018-01-01,88.4185
Kelantan,secondary_upper,both,2019-01-01,109.2
Kelantan,secondary_upper,both,2020-01-01,97.7
Kelantan,secondary_upper,both,2021-01-01,100.3
Kelantan,secondary_upper,both,2022-01-01,99.4
Kelantan,secondary_upper,female,2016-01-01,97.9233
Kelantan,secondary_upper,female,2017-01-01,98.8592
Kelantan,secondary_upper,female,2018-01-01,87.4555
Kelantan,secondary_upper,female,2019-01-01,111.7
Kelantan,secondary_upper,female,2020-01-01,98.6
Kelantan,secondary_upper,female,2021-01-01,99.6
Kelantan,secondary_upper,female,2022-01-01,98.8
Kelantan,secondary_upper,male,2016-01-01,98.9638
Kelantan,secondary_upper,male,2017-01-01,94.7214
Kelantan,secondary_upper,male,2018-01-01,89.4737
Kelantan,secondary_upper,male,2019-01-01,106.7
Kelantan,secondary_upper,male,2020-01-01,96.8
Kelantan,secondary_upper,male,2021-01-01,101.1
Kelantan,secondary_upper,male,2022-01-01,100.0
Melaka,primary,both,2016-01-01,98.92
Melaka,primary,both,2017-01-01,98.87
Melaka,primary,both,2018-01-01,98.92
Melaka,primary,both,2019-01-01,98.7
Melaka,primary,both,2020-01-01,98.5
Melaka,primary,both,2021-01-01,95.1
Melaka,primary,both,2022-01-01,99.5
Melaka,primary,female,2016-01-01,100.17
Melaka,primary,female,2017-01-01,99.92
Melaka,primary,female,2018-01-01,99.17
Melaka,primary,female,2019-01-01,100.3
Melaka,primary,female,2020-01-01,99.2
Melaka,primary,female,2021-01-01,96.8
Melaka,primary,female,2022-01-01,100.3
Melaka,primary,male,2016-01-01,97.73
Melaka,primary,male,2017-01-01,97.87
Melaka,primary,male,2018-01-01,98.67
Melaka,primary,male,2019-01-01,97.2
Melaka,primary,male,2020-01-01,97.7
Melaka,primary,male,2021-01-01,93.5
Melaka,primary,male,2022-01-01,98.7
Melaka,secondary_lower,both,2016-01-01,99.0276
Melaka,secondary_lower,both,2017-01-01,98.5646
Melaka,secondary_lower,both,2018-01-01,99.9172
Melaka,secondary_lower,both,2019-01-01,98.7
Melaka,secondary_lower,both,2020-01-01,97.8
Melaka,secondary_lower,both,2021-01-01,98.1
Melaka,secondary_lower,both,2022-01-01,98.9
Melaka,secondary_lower,female,2016-01-01,99.9568
Melaka,secondary_lower,female,2017-01-01,99.2662
Melaka,secondary_lower,female,2018-01-01,100.0305
Melaka,secondary_lower,female,2019-01-01,98.5
Melaka,secondary_lower,female,2020-01-01,98.6
Melaka,secondary_lower,female,2021-01-01,99.2
Melaka,secondary_lower,female,2022-01-01,99.3
Melaka,secondary_lower,male,2016-01-01,98.1113
Melaka,secondary_lower,male,2017-01-01,97.8447
Melaka,secondary_lower,male,2018-01-01,99.8065
Melaka,secondary_lower,male,2019-01-01,98.9
Melaka,secondary_lower,male,2020-01-01,96.9
Melaka,secondary_lower,male,2021-01-01,97.1
Melaka,secondary_lower,male,2022-01-01,98.6
Melaka,secondary_upper,both,2016-01-01,99.2746
Melaka,secondary_upper,both,2017-01-01,97.8254
Melaka,secondary_upper,both,2018-01-01,98.245
Melaka,secondary_upper,both,2019-01-01,97.0
Melaka,secondary_upper,both,2020-01-01,94.1
Melaka,secondary_upper,both,2021-01-01,98.2
Melaka,secondary_upper,both,2022-01-01,97.7
Melaka,secondary_upper,female,2016-01-01,99.762
Melaka,secondary_upper,female,2017-01-01,98.7135
Melaka,secondary_upper,female,2018-01-01,98.5104
Melaka,secondary_upper,female,2019-01-01,98.4
Melaka,secondary_upper,female,2020-01-01,95.1
Melaka,secondary_upper,female,2021-01-01,98.0
Melaka,secondary_upper,female,2022-01-01,98.3
Melaka,secondary_upper,male,2016-01-01,98.7998
Melaka,secondary_upper,male,2017-01-01,96.8979
Melaka,secondary_upper,male,2018-01-01,97.9713
Melaka,secondary_upper,male,2019-01-01,95.5
Melaka,secondary_upper,male,2020-01-01,93.0
Melaka,secondary_upper,male,2021-01-01,98.5
Melaka,secondary_upper,male,2022-01-01,97.1
Negeri Sembilan,primary,both,2016-01-01,98.29
Negeri Sembilan,primary,both,2017-01-01,98.95
Negeri Sembilan,primary,both,2018-01-01,99.24
Negeri Sembilan,primary,both,2019-01-01,98.9
Negeri Sembilan,primary,both,2020-01-01,100.1
Negeri Sembilan,primary,both,2021-01-01,102.9
Negeri Sembilan,primary,both,2022-01-01,101.6
Negeri Sembilan,primary,female,2016-01-01,99.96
Negeri Sembilan,primary,female,2017-01-01,99.49
Negeri Sembilan,primary,female,2018-01-01,100.67
Negeri Sembilan,primary,female,2019-01-01,99.2
Negeri Sembilan,primary,female,2020-01-01,100.5
Negeri Sembilan,primary,female,2021-01-01,102.9
Negeri Sembilan,primary,female,2022-01-01,102.7
Negeri Sembilan,primary,male,2016-01-01,96.74
Negeri Sembilan,primary,male,2017-01-01,98.44
Negeri Sembilan,primary,male,2018-01-01,97.9
Negeri Sembilan,primary,male,2019-01-01,98.7
Negeri Sembilan,primary,male,2020-01-01,99.7
Negeri Sembilan,primary,male,2021-01-01,102.8
Negeri Sembilan,primary,male,2022-01-01,100.6
Negeri Sembilan,secondary_lower,both,2016-01-01,97.3067
Negeri Sembilan,secondary_lower,both,2017-01-01,99.5664
Negeri Sembilan,secondary_lower,both,2018-01-01,97.1165
Negeri Sembilan,secondary_lower,both,2019-01-01,96.9
Negeri Sembilan,secondary_lower,both,2020-01-01,98.2
Negeri Sembilan,secondary_lower,both,2021-01-01,98.9
Negeri Sembilan,secondary_lower,both,2022-01-01,99.9
Negeri Sembilan,secondary_lower,female,2016-01-01,98.235
Negeri Sembilan,secondary_lower,female,2017-01-01,100.411
Negeri Sembilan,secondary_lower,female,2018-01-01,98.2037
Negeri Sembilan,secondary_lower,female,2019-01-01,97.2
Negeri Sembilan,secondary_lower,female,2020-01-01,99.8
Negeri Sembilan,secondary_lower,female,2021-01-01,99.6
Negeri Sembilan,secondary_lower,female,2022-01-01,99.8
Negeri Sembilan,secondary_lower,male,2016-01-01,96.4068
Negeri Sembilan,secondary_lower,male,2017-01-01,98.7444
Negeri Sembilan,secondary_lower,male,2018-01-01,96.0503
Negeri Sembilan,secondary_lower,male,2019-01-01,96.6
Negeri Sembilan,secondary_lower,male,2020-01-01,96.7
Negeri Sembilan,secondary_lower,male,2021-01-01,98.3
Negeri Sembilan,secondary_lower,male,2022-01-01,99.9
Negeri Sembilan,secondary_upper,both,2016-01-01,100.1393
Negeri Sembilan,secondary_upper,both,2017-01-01,96.707
Negeri Sembilan,secondary_upper,both,2018-01-01,96.7493
Negeri Sembilan,secondary_upper,both,2019-01-01,96.9
Negeri Sembilan,secondary_upper,both,2020-01-01,93.3
Negeri Sembilan,secondary_upper,both,2021-01-01,98.6
Negeri Sembilan,secondary_upper,both,2022-01-01,100.4
Negeri Sembilan,secondary_upper,female,2016-01-01,100.3412
Negeri Sembilan,secondary_upper,female,2017-01-01,97.8202
Negeri Sembilan,secondary_upper,female,2018-01-01,97.5787
Negeri Sembilan,secondary_upper,female,2019-01-01,98.3
Negeri Sembilan,secondary_upper,female,2020-01-01,93.7
Negeri Sembilan,secondary_upper,female,2021-01-01,98.6
Negeri Sembilan,secondary_upper,female,2022-01-01,99.8
Negeri Sembilan,secondary_upper,male,2016-01-01,99.9323
Negeri Sembilan,secondary_upper,male,2017-01-01,95.5919
Negeri Sembilan,secondary_upper,male,2018-01-01,95.9152
Negeri Sembilan,secondary_upper,male,2019-01-01,95.5
Negeri Sembilan,secondary_upper,male,2020-01-01,93.0
Negeri Sembilan,secondary_upper,male,2021-01-01,98.6
Negeri Sembilan,secondary_upper,male,2022-01-01,100.9
Pahang,primary,both,2016-01-01,97.72
Pahang,primary,both,2017-01-01,97.57
Pahang,primary,both,2018-01-01,97.13
Pahang,primary,both,2019-01-01,96.3
Pahang,primary,both,2020-01-01,97.0
Pahang,primary,both,2021-01-01,97.3
Pahang,primary,both,2022-01-01,96.5
Pahang,primary,female,2016-01-01,98.72
Pahang,primary,female,2017-01-01,98.85
Pahang,primary,female,2018-01-01,97.65
Pahang,primary,female,2019-01-01,97.5
Pahang,primary,female,2020-01-01,97.9
Pahang,primary,female,2021-01-01,97.9
Pahang,primary,female,2022-01-01,98.1
Pahang,primary,male,2016-01-01,96.81
Pahang,primary,male,2017-01-01,96.34
Pahang,primary,male,2018-01-01,96.63
Pahang,primary,male,2019-01-01,95.2
Pahang,primary,male,2020-01-01,96.2
Pahang,primary,male,2021-01-01,96.8
Pahang,primary,male,2022-01-01,95.1
Pahang,secondary_lower,both,2016-01-01,96.3753
Pahang,secondary_lower,both,2017-01-01,97.636
Pahang,secondary_lower,both,2018-01-01,94.9303
Pahang,secondary_lower,both,2019-01-01,96.4
Pahang,secondary_lower,both,2020-01-01,96.0
Pahang,secondary_lower,both,2021-01-01,99.1
Pahang,secondary_lower,both,2022-01-01,98.7
Pahang,secondary_lower,female,2016-01-01,96.6483
Pahang,secondary_lower,female,2017-01-01,98.1296
Pahang,secondary_lower,female,2018-01-01,97.0508
Pahang,secondary_lower,female,2019-01-01,97.5
Pahang,secondary_lower,female,2020-01-01,97.3
Pahang,secondary_lower,female,2021-01-01,100.0
Pahang,secondary_lower,female,2022-01-01,98.8
Pahang,secondary_lower,male,2016-01-01,96.1076
Pahang,secondary_lower,male,2017-01-01,97.1421
Pahang,secondary_lower,male,2018-01-01,92.8984
Pahang,secondary_lower,male,2019-01-01,95.3
Pahang,secondary_lower,male,2020-01-01,94.8
Pahang,secondary_lower,male,2021-01-01,98.2
Pahang,secondary_lower,male,2022-01-01,98.6
Pahang,secondary_upper,both,2016-01-01,99.6813
Pahang,secondary_upper,both,2017-01-01,90.8114
Pahang,secondary_upper,both,2018-01-01,99.1357
Pahang,secondary_upper,both,2019-01-01,92.9
Pahang,secondary_upper,both,2020-01-01,97.5
Pahang,secondary_upper,both,2021-01-01,99.6
Pahang,secondary_upper,both,2022-01-01,100.0
Pahang,secondary_upper,female,2016-01-01,99.5629
Pahang,secondary_upper,female,2017-01-01,91.9756
Pahang,secondary_upper,female,2018-01-01,96.9521
Pahang,secondary_upper,female,2019-01-01,96.5
Pahang,secondary_upper,female,2020-01-01,96.9
Pahang,secondary_upper,female,2021-01-01,99.1
Pahang,secondary_upper,female,2022-01-01,99.5
Pahang,secondary_upper,male,2016-01-01,99.8058
Pahang,secondary_upper,male,2017-01-01,89.6342
Pahang,secondary_upper,male,2018-01-01,101.3786
Pahang,secondary_upper,male,2019-01-01,89.3
Pahang,secondary_upper,male,2020-01-01,98.2
Pahang,secondary_upper,male,2021-01-01,100.2
Pahang,secondary_upper,male,2022-01-01,100.6
Perak,primary,both,2016-01-01,98.83
Perak,primary,both,2017-01-01,98.9
Perak,primary,both,2018-01-01,98.09
Perak,primary,both,2019-01-01,98.6
Perak,primary,both,2020-01-01,99.1
Perak,primary,both,2021-01-01,98.8
Perak,primary,both,2022-01-01,99.9
Perak,primary,female,2016-01-01,99.28
Perak,primary,female,2017-01-01,99.37
Perak,primary,female,2018-01-01,98.51
Perak,primary,female,2019-01-01,99.3
Perak,primary,female,2020-01-01,99.8
Perak,primary,female,2021-01-01,99.7
Perak,primary,female,2022-01-01,100.9
Perak,primary,male,2016-01-01,98.39
Perak,primary,male,2017-01-01,98.44
Perak,primary,male,2018-01-01,97.69
Perak,primary,male,2019-01-01,98.0
Perak,primary,male,2020-01-01,98.4
Perak,primary,male,2021-01-01,98.0
Perak,primary,male,2022-01-01,99.1
Perak,secondary_lower,both,2016-01-01,94.9094
Perak,secondary_lower,both,2017-01-01,96.7561
Perak,secondary_lower,both,2018-01-01,95.9696
Perak,secondary_lower,both,2019-01-01,96.9
Perak,secondary_lower,both,2020-01-01,97.1
Perak,secondary_lower,both,2021-01-01,99.4
Perak,secondary_lower,both,2022-01-01,99.2
Perak,secondary_lower,female,2016-01-01,97.142
Perak,secondary_lower,female,2017-01-01,98.1378
Perak,secondary_lower,female,2018-01-01,97.178
Perak,secondary_lower,female,2019-01-01,97.7
Perak,secondary_lower,female,2020-01-01,98.8
Perak,secondary_lower,female,2021-01-01,100.2
Perak,secondary_lower,female,2022-01-01,99.4
Perak,secondary_lower,male,2016-01-01,92.8087
Perak,secondary_lower,male,2017-01-01,95.3946
Perak,secondary_lower,male,2018-01-01,94.8274
Perak,secondary_lower,male,2019-01-01,96.2
Perak,secondary_lower,male,2020-01-01,95.5
Perak,secondary_lower,male,2021-01-01,98.6
Perak,secondary_lower,male,2022-01-01,99.0
Perak,secondary_upper,both,2016-01-01,99.1
Perak,secondary_upper,both,2017-01-01,94.4357
Perak,secondary_upper,both,2018-01-01,97.4355
Perak,secondary_upper,both,2019-01-01,97.9
Perak,secondary_upper,both,2020-01-01,92.4
Perak,secondary_upper,both,2021-01-01,98.8
Perak,secondary_upper,both,2022-01-01,100.3
Perak,secondary_upper,female,2016-01-01,99.1742
Perak,secondary_upper,female,2017-01-01,95.7164
Perak,secondary_upper,female,2018-01-01,98.4112
Perak,secondary_upper,female,2019-01-01,99.5
Perak,secondary_upper,female,2020-01-01,93.2
Perak,secondary_upper,female,2021-01-01,99.2
Perak,secondary_upper,female,2022-01-01,99.9
Perak,secondary_upper,male,2016-01-01,99.0226
Perak,secondary_upper,male,2017-01-01,93.1089
Perak,secondary_upper,male,2018-01-01,96.4462
Perak,secondary_upper,male,2019-01-01,96.2
Perak,secondary_upper,male,2020-01-01,91.5
Perak,secondary_upper,male,2021-01-01,98.4
Perak,secondary_upper,male,2022-01-01,100.7
Perlis,primary,both,2016-01-01,101.66
Perlis,primary,both,2017-01-01,99.22
Perlis,primary,both,2018-01-01,99.61
Perlis,primary,both,2019-01-01,99.0
Perlis,primary,both,2020-01-01,98.8
Perlis,primary,both,2021-01-01,96.9
Perlis,primary,both,2022-01-01,105.5
Perlis,primary,female,2016-01-01,100.66
Perlis,primary,female,2017-01-01,100.44
Perlis,primary,female,2018-01-01,100.11
Perlis,primary,female,2019-01-01,101.2
Perlis,primary,female,2020-01-01,100.0
Perlis,primary,female,2021-01-01,99.8
Perlis,primary,female,2022-01-01,107.2
Perlis,primary,male,2016-01-01,102.63
Perlis,primary,male,2017-01-01,98.05
Perlis,primary,male,2018-01-01,99.13
Perlis,primary,male,2019-01-01,97.0
Perlis,primary,male,2020-01-01,97.7
Perlis,primary,male,2021-01-01,94.4
Perlis,primary,male,2022-01-01,103.9
Perlis,secondary_lower,both,2016-01-01,93.6557
Perlis,secondary_lower,both,2017-01-01,96.4581
Perlis,secondary_lower,both,2018-01-01,96.5534
Perlis,secondary_lower,both,2019-01-01,93.1
Perlis,secondary_lower,both,2020-01-01,94.4
Perlis,secondary_lower,both,2021-01-01,97.8
Perlis,secondary_lower,both,2022-01-01,99.7
Perlis,secondary_lower,female,2016-01-01,95.152
Perlis,secondary_lower,female,2017-01-01,96.6188
Perlis,secondary_lower,female,2018-01-01,98.2229
Perlis,secondary_lower,female,2019-01-01,95.9
Perlis,secondary_lower,female,2020-01-01,95.8
Perlis,secondary_lower,female,2021-01-01,98.6
Perlis,secondary_lower,female,2022-01-01,100.3
Perlis,secondary_lower,male,2016-01-01,92.1393
Perlis,secondary_lower,male,2017-01-01,96.2909
Perlis,secondary_lower,male,2018-01-01,94.895
Perlis,secondary_lower,male,2019-01-01,90.3
Perlis,secondary_lower,male,2020-01-01,93.1
Perlis,secondary_lower,male,2021-01-01,97.1
Perlis,secondary_lower,male,2022-01-01,99.1
Perlis,secondary_upper,both,2016-01-01,91.1528
Perlis,secondary_upper,both,2017-01-01,94.5276
Perlis,secondary_upper,both,2018-01-01,94.6984
Perlis,secondary_upper,both,2019-01-01,94.6
Perlis,secondary_upper,both,2020-01-01,93.3
Perlis,secondary_upper,both,2021-01-01,97.4
Perlis,secondary_upper,both,2022-01-01,97.9
Perlis,secondary_upper,female,2016-01-01,93.1364
Perlis,secondary_upper,female,2017-01-01,95.4263
Perlis,secondary_upper,female,2018-01-01,96.6413
Perlis,secondary_upper,female,2019-01-01,96.9
Perlis,secondary_upper,female,2020-01-01,95.0
Perlis,secondary_upper,female,2021-01-01,98.3
Perlis,secondary_upper,female,2022-01-01,98.2
Perlis,secondary_upper,male,2016-01-01,89.2025
Perlis,secondary_upper,male,2017-01-01,93.618
Perlis,secondary_upper,male,2018-01-01,92.6738
Perlis,secondary_upper,male,2019-01-01,92.2
Perlis,secondary_upper,male,2020-01-01,91.5
Perlis,secondary_upper,male,2021-01-01,96.5
Perlis,secondary_upper,male,2022-01-01,97.6
Pulau Pinang,primary,both,2016-01-01,96.55
Pulau Pinang,primary,both,2017-01-01,96.71
Pulau Pinang,primary,both,2018-01-01,96.52
Pulau Pinang,primary,both,2019-01-01,96.0
